"Id","Topic"
2600,NA
2606,NA
2617,NA
2690,"Species"
2709,NA
2755,NA
2756,NA
2783,"Species"
2785,"Pollution"
2800,"Pollution"
2802,"Pollution"
2832,"Pollution"
2854,"Pollution"
2932,"Pollution"
3095,"Species"
3127,NA
3273,"Pollution"
3286,"Pollution"
3287,"Pollution"
3289,"Pollution"
3309,"Species"
3313,"Pollution"
3314,"Species"
3321,"Pollution"
3334,NA
40427,"Species"
40429,"Species"
40430,NA
40431,NA
40433,NA
40434,"Species"
40435,"Species"
40436,"Species"
40437,"Pollution"
40438,NA
40439,"Species"
40440,"Species"
40445,NA
40447,"Pollution"
40449,"Pollution"
40451,"Pollution"
40452,"Pollution"
40453,"Pollution"
40454,"Pollution"
40455,"Pollution"
40457,"Nuclear"
40460,NA
40461,NA
40463,NA
40464,NA
40465,NA
40469,"Species"
40471,"Species"
40472,"Pollution"
40473,"Species"
40475,NA
40476,NA
40477,NA
40478,"Species"
40481,"Pollution"
40482,"Habitat"
40489,"Species"
40491,"Pollution"
40494,NA
40496,NA
40498,"Pollution"
40501,"Nuclear"
40505,"Nuclear"
40506,"Nuclear"
40508,"Nuclear"
40510,"Nuclear"
40511,NA
40512,"Pollution"
40521,"Species"
40522,"Species"
40524,"Nuclear"
40525,"Nuclear"
40527,"Pollution"
40530,"Pollution"
40531,"Nuclear"
40537,"Pollution"
40538,"Habitat"
40539,"Pollution"
40540,NA
40542,NA
40548,"Species"
40549,"Species"
40550,"Species"
40551,NA
40552,"Species"
40558,NA
40560,"Species"
40569,"Pollution"
40571,"Species"
40572,"Species"
40574,NA
40578,"Habitat"
40587,"Nuclear"
40600,"Pollution"
40601,NA
40602,"Species"
40606,"Species"
40607,"Species"
40608,"Pollution"
40612,"Pollution"
40613,"Pollution"
40614,"Pollution"
40615,"Pollution"
40616,"Pollution"
40617,"Pollution"
40623,NA
40625,NA
40628,NA
40640,NA
40641,NA
40645,"Nuclear"
40649,"Nuclear"
40657,"Pollution"
40658,NA
40659,NA
40660,"Species"
40663,"Species"
40666,"Pollution"
40667,"Pollution"
40668,"Pollution"
40670,"Pollution"
40672,"Pollution"
40680,"Pollution"
40683,"Pollution"
40684,"Pollution"
40687,"Species"
40692,"Pollution"
40701,"Nuclear"
40704,"Pollution"
40705,"Species"
40706,"Pollution"
40707,"Pollution"
40709,"Pollution"
40710,"Pollution"
40711,"Species"
40716,"Pollution"
40718,"Pollution"
40721,"Nuclear"
40722,"Nuclear"
40724,NA
40726,"Pollution"
40727,"Pollution"
40728,"Pollution"
40731,"Pollution"
40733,"Species"
40740,NA
40741,"Pollution"
40743,"Pollution"
40745,"Nuclear"
40747,"Pollution"
40750,"Species"
40751,"Species"
40752,"Species"
40753,"Species"
40755,"Pollution"
40756,"Pollution"
40759,"Pollution"
40762,"Pollution"
40764,NA
40765,"Pollution"
40769,NA
40770,"Pollution"
40772,"Species"
40775,"Pollution"
40778,"Species"
40780,"Pollution"
40781,"Species"
40782,"Pollution"
40784,"Pollution"
40786,"Species"
40787,"Species"
40790,"Species"
40791,NA
40792,"Pollution"
40793,"Pollution"
40794,"Species"
40795,"Pollution"
40797,"Pollution"
40798,"Species"
40801,NA
40802,"Species"
40805,"Pollution"
40806,"Pollution"
40808,"Pollution"
40810,"Pollution"
40815,"Species"
40822,"Pollution"
40824,"Habitat"
40825,"Species"
40827,"Habitat"
40828,"Nuclear"
40829,"Pollution"
40832,NA
40841,"Pollution"
40842,"Species"
40843,NA
40845,"Species"
40846,"Species"
40849,"Species"
40851,"Pollution"
40852,"Species"
40855,"Pollution"
40858,"Pollution"
40859,"Species"
40860,"Species"
40865,"Pollution"
40868,"Nuclear"
40869,NA
40870,"Pollution"
40871,"Pollution"
40872,NA
40873,"Nuclear"
40874,NA
43111,NA
43608,"Pollution"
